group	type	rt
monolingual	NA	910.7722248
monolingual	NA	887.0628615
monolingual	NA	886.0760371
monolingual	NA	906.1512426
monolingual	NA	897.7661527
monolingual	NA	896.8191478
monolingual	NA	894.3545306
monolingual	NA	916.2003718
monolingual	NA	893.8448554
monolingual	NA	901.0658974
monolingual	NA	891.5571764
monolingual	NA	890.7455032
monolingual	NA	910.8263657
monolingual	NA	901.24182
monolingual	NA	898.9610853
monolingual	NA	899.3536452
monolingual	NA	894.6016401
monolingual	NA	895.3657632
monolingual	NA	895.9315075
monolingual	NA	883.6975091
monolingual	NA	907.3723979
monolingual	NA	898.3347984
monolingual	NA	894.6760503
monolingual	NA	892.5808932
monolingual	NA	886.8340066
monolingual	NA	893.198812
monolingual	NA	891.5956999
monolingual	NA	923.850557
monolingual	NA	894.7851428
monolingual	NA	900.7348505
monolingual	NA	906.5520703
monolingual	NA	897.8897263
monolingual	NA	909.4084057
monolingual	NA	905.9448951
monolingual	NA	907.4040937
monolingual	NA	898.2310703
monolingual	NA	892.812261
monolingual	NA	920.3239088
monolingual	NA	882.9043622
monolingual	NA	897.0199864
monolingual	NA	898.7547151
monolingual	NA	919.9139455
monolingual	NA	889.1142762
monolingual	NA	888.2246686
monolingual	NA	886.0550677
monolingual	NA	905.6103388
monolingual	NA	894.8436126
monolingual	NA	896.9851388
monolingual	NA	921.5494214
monolingual	NA	909.0107841
monolingual	NA	899.041854
monolingual	NA	911.4759787
monolingual	NA	901.3148178
monolingual	NA	889.0917495
monolingual	NA	902.9600529
monolingual	NA	902.9258127
monolingual	NA	896.053332
monolingual	NA	898.6562663
monolingual	NA	907.5895023
monolingual	NA	898.0850943
monolingual	NA	888.7787192
monolingual	NA	887.5816435
monolingual	NA	893.6988935
monolingual	NA	907.0280103
monolingual	NA	906.5302355
monolingual	NA	901.5223733
monolingual	NA	889.4658173
monolingual	NA	909.7247008
monolingual	NA	881.9715176
monolingual	NA	894.8780737
monolingual	NA	901.2701671
monolingual	NA	905.831092
monolingual	NA	889.8328254
monolingual	NA	893.3376399
monolingual	NA	907.6019427
monolingual	NA	893.906157
monolingual	NA	901.7435795
monolingual	NA	918.1369107
monolingual	NA	919.0103046
monolingual	NA	921.7602295
monolingual	NA	903.5654478
monolingual	NA	898.549137
monolingual	NA	898.0633409
monolingual	NA	894.4764394
monolingual	NA	896.3277886
monolingual	NA	895.0197159
monolingual	NA	900.2527624
monolingual	NA	897.8625268
monolingual	NA	887.0059306
monolingual	NA	893.1630528
monolingual	NA	898.3663371
monolingual	NA	902.5551725
monolingual	NA	906.0744677
monolingual	NA	874.7162367
monolingual	NA	890.1666162
monolingual	NA	909.1140375
monolingual	NA	903.358668
monolingual	NA	894.3937907
monolingual	NA	904.7730921
monolingual	NA	912.8119
monolingual	NA	889.6373269
monolingual	NA	894.4785585
monolingual	NA	902.7174392
monolingual	NA	885.7977823
monolingual	NA	898.0605983
monolingual	NA	889.1469333
monolingual	NA	884.6889189
monolingual	NA	909.9890238
monolingual	NA	882.5939529
monolingual	NA	896.3440729
monolingual	NA	902.885419
monolingual	NA	897.7691096
monolingual	NA	900.7225745
